Triangulation: J, 67 polys, 818 nodes
948 triangles:
 567 560 578
 568 560 567
 569 560 568
 570 560 569
 571 76 570
 572 76 571
 572 573 580
 573 574 580
 574 575 579
 575 576 721
 576 577 164
 577 578 164
 578 560 164
 579 575 590
 580 574 579
 581 76 572
 581 572 580
 582 76 581
 583 76 582
 584 76 583
 584 585 74
 585 586 74
 586 587 74
 587 588 74
 588 589 74
 589 590 722
 590 575 721
 591 584 602
 592 76 584
 592 584 591
 593 76 592
 594 76 593
 595 76 594
 596 76 595
 597 598 74
 598 599 74
 599 600 74
 600 601 74
 601 602 74
 602 584 74
 603 238 239
 603 239 704
 604 238 603
 605 606 701
 605 701 178
 606 603 705
 607 608 724
 608 609 724
 609 71 724
 610 71 609
 611 610 614
 611 612 724
 612 613 724
 613 607 724
 614 607 613
 614 610 607
 615 604 618
 615 616 782
 616 181 782
 616 617 181
 617 180 181
 617 605 180
 618 604 605
 618 605 617
 619 400 622
 619 620 623
 620 621 623
 621 396 724
 621 719 623
 621 724 719
 622 401 621
 623 624 135
 623 714 626
 624 625 135
 625 148 135
 626 147 625
 627 417 135
 628 415 627
 629 415 628
 629 630 137
 630 627 135
 632 633 80
 633 77 80
 634 77 633
 635 77 634
 636 77 635
 637 77 636
 641 642 84
 642 643 83
 643 527 83
 644 527 643
 645 527 644
 646 527 645
 647 527 646
 648 527 647
 648 649 84
 649 650 84
 650 641 84
 651 767 131
 652 186 651
 653 186 652
 653 654 788
 654 651 131
 655 142 623
 656 167 655
 657 167 656
 657 658 623
 658 655 623
 659 660 615
 660 661 615
 661 237 238
 661 238 604
 661 604 615
 662 237 661
 662 534 237
 663 534 662
 664 659 615
 665 666 742
 666 667 193
 667 247 193
 668 246 667
 669 245 668
 670 245 669
 670 665 744
 671 672 173
 672 673 172
 673 534 172
 674 534 673
 675 534 674
 676 671 174
 677 678 698
 678 679 697
 679 680 804
 679 804 810
 680 85 86
 680 86 804
 680 534 85
 681 534 680
 682 534 681
 683 684 710
 684 685 709
 685 664 709
 686 664 685
 687 663 664
 687 664 686
 688 663 687
 688 683 712
 689 690 155
 690 691 155
 691 692 155
 692 198 155
 693 198 692
 694 198 693
 695 103 107
 695 696 103
 696 697 816
 696 816 101
 697 679 816
 698 678 697
 699 677 698
 699 682 677
 700 682 699
 700 695 109
 701 606 706
 701 702 177
 702 703 176
 703 704 175
 704 239 175
 705 603 704
 706 606 705
 707 708 135
 708 709 135
 709 615 782
 709 664 615
 709 782 135
 710 684 709
 711 683 710
 712 683 711
 712 707 135
 713 714 623
 714 715 626
 715 147 626
 716 146 715
 717 145 716
 718 145 717
 718 713 623
 719 720 623
 720 721 623
 721 164 657
 721 576 164
 721 657 623
 722 590 721
 723 71 722
 724 71 723
 725 726 270
 726 727 120
 727 118 120
 728 118 727
 730 725 271
 731 732 154
 732 77 534
 732 534 663
 732 663 154
 733 77 732
 734 77 733
 735 77 734
 736 77 735
 737 738 753
 738 739 752
 739 731 751
 740 194 689
 740 741 194
 741 666 194
 742 666 741
 743 665 742
 744 665 743
 745 245 670
 745 670 744
 746 245 745
 746 747 762
 747 748 761
 748 740 760
 749 750 155
 750 731 154
 751 731 750
 752 739 751
 753 738 752
 754 737 753
 755 737 754
 755 756 155
 756 757 155
 757 749 155
 758 759 689
 759 740 689
 760 740 759
 761 748 760
 762 747 761
 763 245 746
 763 746 762
 764 244 763
 764 765 689
 765 766 689
 766 758 689
 767 768 131
 768 170 130
 769 170 768
 770 170 769
 771 189 770
 772 188 771
 773 188 772
 773 774 651
 774 775 651
 775 767 651
 776 777 135
 777 185 791
 777 791 135
 778 185 777
 779 185 778
 780 185 779
 781 185 780
 782 783 135
 783 784 135
 784 776 135
 785 786 135
 786 133 135
 786 654 133
 787 654 786
 788 654 787
 789 653 788
 790 185 789
 791 185 790
 791 792 135
 792 793 135
 793 785 135
 794 797 439
 795 796 794
 796 797 794
 797 798 439
 798 93 438
 798 438 439
 799 86 798
 800 86 799
 800 801 802
 803 86 800
 803 800 802
 804 86 803
 804 805 810
 805 794 439
 806 809 440
 807 808 806
 808 809 806
 809 810 440
 810 439 440
 810 805 439
 811 679 810
 812 679 811
 812 813 814
 815 679 812
 815 812 814
 816 679 815
 816 817 101
 817 440 441
 817 806 440
DwgArea: 184978.376
TriArea: 184978.376
